"createdAt","objectId","updatedAt","keel","nimetus","published","eluarisyndmus","identifikaator","kirjeldus","tegevusvaldkond","teenusetyyp","ministeerium","allasutus","osakondyksus","omanikunimi","omanikuamet","omanikutelefon","omanikuemail","konfinfo","eeltingimus"
"20-01-2016","c3c8e991-5460-488f-a49e-92aeb039423c","20-01-2016","et","Ajutiselt Eestis tegutsemisest teatamine","1","","TJA-008","LMS § 14 lg 4 - Ajutiselt võib Eestis lõhkematerjali tegevusloata kasutada isik, kellel on mõne teise Euroopa Majanduspiirkonna lepinguriigi väljastatud vastavasisuline tegevusluba.","Ohutus","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Kemikaali ja mäetööde osakond","","","","","0",""
"20-01-2016","c4df8543-e9fc-47eb-b1ee-ad924090e0d8","20-01-2016","et","Lõhkematerjalilao käitamisloa taotluse läbivaatamine","1","","TJA-010","Viiakse läbi kohapealne kontroll hinnates muuhulgas lao ja selles töötavate inimeste ja ladustatavate ohtlike ainete ohutuse ja julgeoleku tagamiseks rakendatavate abinõude piisavust.","Ohutus","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Kemikaali ja mäetööde osakond","","","","","0",""
"20-01-2016","ce844917-363c-4a65-9dee-f1c28a77e55d","20-01-2016","et","Väljaspool lõhkematerjaliladu lõhkematerjali hoidmise loa taotluse läbivaatamine","1","","TJA-011","Hinnatakse lõhkematerjali hoidmise korda ning kontrollitakse hoidla kirjeldust ja asukoha andmeid ning hoiustatava lõhkematerjali nimetusi ja kogust. Lisaks kontrollitakse ohutute kauguste määramist ja vajadusel tehakse kontrollarvutused.","Ohutus","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Kemikaali ja mäetööde osakond","","","","","0",""
"20-01-2016","18aa2632-95e0-497e-8369-8d811a8f32fc","20-01-2016","et","Enamohtliku lõhketöö loa taotluse läbivaatamine","1","","TJA-012"," Kontrollitakse lõhketööde projekti nõuetekohasust ning tehakse ohuala ja ohutute laengute määramise kohta kontrollarvutused.","Ohutus","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Kemikaali ja mäetööde osakond","","","","","0",""
"20-01-2016","81088e1f-c04a-406c-9845-4b684bcbb457","20-01-2016","et","Enamohtliku lõhketöö loa pikendamise taotluse läbivaatamine","1","","TJA-013","Kontrollitakse kas lõhketöö ohuala piirid ja lõhketöö tehnilised tingimused ei ole muutunud.","Ohutus","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","","","","","","0",""
"20-01-2016","7ca6bfd9-79a9-4c34-bcf2-636fc0fafcc6","20-01-2016","et","Lõhkematerjali sisseveo loa taotluse läbivaatamine","1","","TJA-014","Teavitame ja anname võimaluse Kaitsepolitseil ja Politsei- ja Piirivalveametil esitada oma arvamus taotluse kohta. Kontrollime operaatorite, lõhkematerjali, veotingimuste ja sihtkoha valmisoleku kohta esitatud andmete õigsust.","Ohutus","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Kemikaali ja mäetööde osakond","","","","","0",""
"20-01-2016","a351acc5-323b-4f4e-956e-5c8126eb3dd9","20-01-2016","et","Lõhkematerjali väljaveo loa taotluse läbivaatamine","1","","TJA-015","Teavitame ja anname võimaluse Kaitsepolitseil ja Politsei- ja Piirivalveametil esitada oma arvamus taotluse kohta. Kontrollime operaatorite, lõhkematerjali, veotingimuste ja sihtkoha valmisoleku kohta esitatud andmete õigsust.","Ohutus","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Kemikaali ja mäetööde osakond","","","","","0",""
"20-01-2016","a6bb9788-3aff-4194-a966-925bbcc8b34a","20-01-2016","et","Lõhkematerjali veoloa taotluse läbivaatamine","1","","TJA-016","Kontrollime operaatorite, lõhkematerjali, veotingimuste ja sihtkoha valmisoleku kohta esitatud andmete õigsust. Väljastatakse luba.","Ohutus","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Kemikaali ja mäetööde osakond","","","","","0",""
"20-01-2016","57fe38f5-254d-4baa-acc9-92fe335b5f82","20-01-2016","et","Lõhkematerjali veoloa kooskõlastamine","1","","TJA-017","Kontrollime operaatorite, lõhkematerjali, veotingimuste ja sihtkoha valmisoleku kohta esitatud andmete õigsust. Kooskõlastame loa.","Ohutus","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Kemikaali ja mäetööde osakond","","","","","0",""
"20-01-2016","2d98cbdf-0533-422c-baf7-bf3ecfc39c9b","20-01-2016","et","Pädevustunnistuse taotluse läbivaatamine","1","","TJA-018","Kontrollime vanust, erialast ettevalmistust, töökogemust, varasemaid karistusi ning tervisetõendi olemasolu, kas isik on sobiv töötamaks soovitud ametikohal. ","Ohutus","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","Kemikaali ja mäetööde osakond","","","","","0",""
"20-01-2016","f04da013-1ff6-4e80-a602-6ddde72c39e9","20-01-2016","et","Pädevustunnistuse duplikaadi väljastamised","1","","TJA-019","Riigilõivu tasumist. Dublikaadi väljastamine.","Ohutus","Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus","Majandus- ja Kommunikatsiooniministeeriumi haldusala","Tehnilise Järelevalve Amet","","","","","","0",""
